Frequency,Angle_of_Attack,Chord_Length,Free_Stream_Velocity,Displacement_Thickness,Sound_Pressure_Level,y_hat
800,0.0,0.3048,71.3,0.00266337,126.201,126.22632327258448
1000,0.0,0.3048,71.3,0.00266337,125.201,126.22632327258448
1250,0.0,0.3048,71.3,0.00266337,125.951,126.22632327258448
1600,0.0,0.3048,71.3,0.00266337,127.591,126.22632327258448
2000,0.0,0.3048,71.3,0.00266337,127.461,126.22632327258448
2500,0.0,0.3048,71.3,0.00266337,125.571,126.22632327258448
3150,0.0,0.3048,71.3,0.00266337,125.201,126.22632327258448
4000,0.0,0.3048,71.3,0.00266337,123.061,126.22632327258448
5000,0.0,0.3048,71.3,0.00266337,121.301,126.22632327258448
6300,0.0,0.3048,71.3,0.00266337,119.541,126.22632327258448
8000,0.0,0.3048,71.3,0.00266337,117.151,126.22632327258448
10000,0.0,0.3048,71.3,0.00266337,115.391,126.22632327258448
12500,0.0,0.3048,71.3,0.00266337,112.241,126.22632327258448
16000,0.0,0.3048,71.3,0.00266337,108.721,126.22632327258448
500,0.0,0.3048,55.5,0.00283081,126.416,126.1988585142407
630,0.0,0.3048,55.5,0.00283081,127.696,126.1988585142407
800,0.0,0.3048,55.5,0.00283081,128.086,126.1988585142407
1000,0.0,0.3048,55.5,0.00283081,126.966,126.1988585142407
1250,0.0,0.3048,55.5,0.00283081,126.086,126.1988585142407
1600,0.0,0.3048,55.5,0.00283081,126.986,126.1988585142407
2000,0.0,0.3048,55.5,0.00283081,126.616,126.1988585142407
2500,0.0,0.3048,55.5,0.00283081,124.106,126.1988585142407
3150,0.0,0.3048,55.5,0.00283081,123.236,126.1988585142407
4000,0.0,0.3048,55.5,0.00283081,121.106,126.1988585142407
5000,0.0,0.3048,55.5,0.00283081,119.606,126.1988585142407
6300,0.0,0.3048,55.5,0.00283081,117.976,126.1988585142407
8000,0.0,0.3048,55.5,0.00283081,116.476,126.1988585142407
10000,0.0,0.3048,55.5,0.00283081,113.076,126.1988585142407
12500,0.0,0.3048,55.5,0.00283081,111.076,126.1988585142407
200,0.0,0.3048,39.6,0.00310138,118.129,126.15447760367525
250,0.0,0.3048,39.6,0.00310138,119.319,126.15447760367525
315,0.0,0.3048,39.6,0.00310138,122.779,126.15447760367525
400,0.0,0.3048,39.6,0.00310138,124.809,126.15447760367525
500,0.0,0.3048,39.6,0.00310138,126.959,126.15447760367525
630,0.0,0.3048,39.6,0.00310138,128.629,126.15447760367525
800,0.0,0.3048,39.6,0.00310138,129.099,126.15447760367525
1000,0.0,0.3048,39.6,0.00310138,127.899,126.15447760367525
1250,0.0,0.3048,39.6,0.00310138,125.499,126.15447760367525
1600,0.0,0.3048,39.6,0.00310138,124.049,126.15447760367525
2000,0.0,0.3048,39.6,0.00310138,123.689,126.15447760367525
2500,0.0,0.3048,39.6,0.00310138,121.399,126.15447760367525
3150,0.0,0.3048,39.6,0.00310138,120.319,126.15447760367525
4000,0.0,0.3048,39.6,0.00310138,119.229,126.15447760367525
5000,0.0,0.3048,39.6,0.00310138,117.789,126.15447760367525
6300,0.0,0.3048,39.6,0.00310138,116.229,126.15447760367525
8000,0.0,0.3048,39.6,0.00310138,114.779,126.15447760367525
10000,0.0,0.3048,39.6,0.00310138,112.139,126.15447760367525
12500,0.0,0.3048,39.6,0.00310138,109.619,126.15447760367525
200,0.0,0.3048,31.7,0.00331266,117.195,126.11982188136949
250,0.0,0.3048,31.7,0.00331266,118.595,126.11982188136949
315,0.0,0.3048,31.7,0.00331266,122.765,126.11982188136949
400,0.0,0.3048,31.7,0.00331266,125.045,126.11982188136949
500,0.0,0.3048,31.7,0.00331266,127.315,126.11982188136949
630,0.0,0.3048,31.7,0.00331266,129.095,126.11982188136949
800,0.0,0.3048,31.7,0.00331266,129.235,126.11982188136949
1000,0.0,0.3048,31.7,0.00331266,127.365,126.11982188136949
1250,0.0,0.3048,31.7,0.00331266,124.355,126.11982188136949
1600,0.0,0.3048,31.7,0.00331266,122.365,126.11982188136949
2000,0.0,0.3048,31.7,0.00331266,122.375,126.11982188136949
2500,0.0,0.3048,31.7,0.00331266,120.755,126.11982188136949
3150,0.0,0.3048,31.7,0.00331266,119.135,126.11982188136949
4000,0.0,0.3048,31.7,0.00331266,118.145,126.11982188136949
5000,0.0,0.3048,31.7,0.00331266,115.645,126.11982188136949
6300,0.0,0.3048,31.7,0.00331266,113.775,126.11982188136949
8000,0.0,0.3048,31.7,0.00331266,110.515,126.11982188136949
10000,0.0,0.3048,31.7,0.00331266,108.265,126.11982188136949
800,1.5,0.3048,71.3,0.00336729,127.122,126.11086106108567
1000,1.5,0.3048,71.3,0.00336729,125.992,126.11086106108567
1250,1.5,0.3048,71.3,0.00336729,125.872,126.11086106108567
1600,1.5,0.3048,71.3,0.00336729,126.632,126.11086106108567
2000,1.5,0.3048,71.3,0.00336729,126.642,126.11086106108567
2500,1.5,0.3048,71.3,0.00336729,124.512,126.11086106108567
3150,1.5,0.3048,71.3,0.00336729,123.392,126.11086106108567
4000,1.5,0.3048,71.3,0.00336729,121.762,126.11086106108567
5000,1.5,0.3048,71.3,0.00336729,119.632,126.11086106108567
6300,1.5,0.3048,71.3,0.00336729,118.122,126.11086106108567
8000,1.5,0.3048,71.3,0.00336729,115.372,126.11086106108567
10000,1.5,0.3048,71.3,0.00336729,113.492,126.11086106108567
12500,1.5,0.3048,71.3,0.00336729,109.222,126.11086106108567
16000,1.5,0.3048,71.3,0.00336729,106.582,126.11086106108567
315,1.5,0.3048,39.6,0.00392107,121.851,126.02002593282705
400,1.5,0.3048,39.6,0.00392107,124.001,126.02002593282705
500,1.5,0.3048,39.6,0.00392107,126.661,126.02002593282705
630,1.5,0.3048,39.6,0.00392107,128.311,126.02002593282705
800,1.5,0.3048,39.6,0.00392107,128.831,126.02002593282705
1000,1.5,0.3048,39.6,0.00392107,127.581,126.02002593282705
1250,1.5,0.3048,39.6,0.00392107,125.211,126.02002593282705
1600,1.5,0.3048,39.6,0.00392107,122.211,126.02002593282705
2000,1.5,0.3048,39.6,0.00392107,122.101,126.02002593282705
2500,1.5,0.3048,39.6,0.00392107,120.981,126.02002593282705
3150,1.5,0.3048,39.6,0.00392107,119.111,126.02002593282705
4000,1.5,0.3048,39.6,0.00392107,117.741,126.02002593282705
5000,1.5,0.3048,39.6,0.00392107,116.241,126.02002593282705
6300,1.5,0.3048,39.6,0.00392107,114.751,126.02002593282705
8000,1.5,0.3048,39.6,0.00392107,112.251,126.02002593282705
10000,1.5,0.3048,39.6,0.00392107,108.991,126.02002593282705
12500,1.5,0.3048,39.6,0.00392107,106.111,126.02002593282705
400,3.0,0.3048,71.3,0.00425727,127.564,125.96487989988879
500,3.0,0.3048,71.3,0.00425727,128.454,125.96487989988879
630,3.0,0.3048,71.3,0.00425727,129.354,125.96487989988879
800,3.0,0.3048,71.3,0.00425727,129.494,125.96487989988879
1000,3.0,0.3048,71.3,0.00425727,129.004,125.96487989988879
1250,3.0,0.3048,71.3,0.00425727,127.634,125.96487989988879
1600,3.0,0.3048,71.3,0.00425727,126.514,125.96487989988879
2000,3.0,0.3048,71.3,0.00425727,125.524,125.96487989988879
2500,3.0,0.3048,71.3,0.00425727,124.024,125.96487989988879
3150,3.0,0.3048,71.3,0.00425727,121.514,125.96487989988879
4000,3.0,0.3048,71.3,0.00425727,120.264,125.96487989988879
5000,3.0,0.3048,71.3,0.00425727,118.134,125.96487989988879
